Image, Detector, Descriptor, TTC_Lidar, TTC_Camera
0008, FAST, ORB, 11.5965, 13.7901
0009, FAST, ORB, 13.2766, 12.059
0010, FAST, ORB, 12.5612, 11.8642
0011, FAST, ORB, 11.7065, 11.9682
0012, FAST, ORB, 12.3381, 9.88711
0013, FAST, ORB, 11.8423, 9.42504
0014, FAST, ORB, 11.4873, 9.30215
0015, FAST, ORB, 10.8889, 8.3212
0016, FAST, ORB, 10.9588, 8.89867
0017, FAST, ORB, 8.85564, 11.0301
0018, FAST, ORB, 11.6293, 8.53557

0000, FAST, FREAK, 
0001, FAST, FREAK, 12.9991, 12.2891
0002, FAST, FREAK, 12.093, 13.3547
0003, FAST, FREAK, 14.6114, 16.3845
0004, FAST, FREAK, 13.2747, 14.0764
0005, FAST, FREAK, 12.7571, 12.7299
0006, FAST, FREAK, 11.5572, 13.7511
0007, FAST, FREAK, 13.0069, 13.7314
0008, FAST, FREAK, 12.4742, 13.7901
0009, FAST, FREAK, 12.2995, 12.059
0010, FAST, FREAK, 12.7188, 11.8642
0011, FAST, FREAK, 12.2277, 11.9682
0012, FAST, FREAK, 11.7492, 9.88711
0013, FAST, FREAK, 11.8251, 9.42504
0014, FAST, FREAK, 11.6048, 9.30215
0015, FAST, FREAK, 10.1464, 8.3212
0016, FAST, FREAK, 10.6085, 8.89867
0017, FAST, FREAK, 9.88916, 11.0301
0018, FAST, FREAK, 10.8713, 8.53557

0000, BRISK, BRISK, 
0001, BRISK, BRISK, 12.8659, 12.2891
0002, BRISK, BRISK, 16.5957, 13.3547
0003, BRISK, BRISK, 12.7803, 16.3845
0004, BRISK, BRISK, 14.8405, 14.0764
0005, BRISK, BRISK, 28.6365, 12.7299
0006, BRISK, BRISK, 17.8323, 13.7511
0007, BRISK, BRISK, 15.5593, 13.7314
0008, BRISK, BRISK, 15.9199, 13.7901
0009, BRISK, BRISK, 13.9678, 12.059
0010, BRISK, BRISK, 10.6552, 11.8642
0011, BRISK, BRISK, 12.1394, 11.9682
0012, BRISK, BRISK, 11.1097, 9.88711
0013, BRISK, BRISK, 11.5717, 9.42504
0014, BRISK, BRISK, 12.4212, 9.30215
0015, BRISK, BRISK, 12.4717, 8.3212
0016, BRISK, BRISK, 10.9329, 8.89867
0017, BRISK, BRISK, 10.3503, 11.0301
0018, BRISK, BRISK, 12.3517, 8.53557

0000, BRISK, BRIEF, 
0001, BRISK, BRIEF, 10.1889, 12.2891
0002, BRISK, BRIEF, 16.1327, 13.3547
0003, BRISK, BRIEF, 11.5662, 16.3845
0004, BRISK, BRIEF, 17.8398, 14.0764
0005, BRISK, BRIEF, 20.4757, 12.7299
0006, BRISK, BRIEF, 20.6042, 13.7511
0007, BRISK, BRIEF, 14.0882, 13.7314
0008, BRISK, BRIEF, 19.1151, 13.7901
0009, BRISK, BRIEF, 14.6993, 12.059
0010, BRISK, BRIEF, 10.1762, 11.8642
0011, BRISK, BRIEF, 11.6251, 11.9682
0012, BRISK, BRIEF, 12.6855, 9.88711
0013, BRISK, BRIEF, 11.5071, 9.42504
0014, BRISK, BRIEF, 10.7809, 9.30215
0015, BRISK, BRIEF, 10.6437, 8.3212
0016, BRISK, BRIEF, 11.7206, 8.89867
0017, BRISK, BRIEF, 10.7937, 11.0301
0018, BRISK, BRIEF, 9.96394, 8.53557

0000, BRISK, ORB, 
0001, BRISK, ORB, 11.7327, 12.2891
0002, BRISK, ORB, 15.829, 13.3547
0003, BRISK, ORB, 14.2885, 16.3845
0004, BRISK, ORB, 17.1298, 14.0764
0005, BRISK, ORB, 23.8766, 12.7299
0006, BRISK, ORB, 19.9254, 13.7511
0007, BRISK, ORB, 12.1339, 13.7314
0008, BRISK, ORB, 16.622, 13.7901
0009, BRISK, ORB, 15.1317, 12.059
0010, BRISK, ORB, 11.255, 11.8642
0011, BRISK, ORB, 13.4938, 11.9682
0012, BRISK, ORB, 11.7882, 9.88711
0013, BRISK, ORB, 11.6125, 9.42504
0014, BRISK, ORB, 12.2443, 9.30215
0015, BRISK, ORB, 10.8762, 8.3212
0016, BRISK, ORB, 10.8778, 8.89867
